name,type,city,district,address_clean,latitude,longitude,hours,geocode_status
samto kimia,Dropper,Tbilisi,Saburtalo,წერეთლის გამზირი 142,41.7504527,44.7763387,,success
Tbilisi Green School,Dropper,Tbilisi,Chughureti/Central,ხუდადოვის 1,41.72431,44.802781,,success
BOG 3 (I. Gagarini Str.),Dropper,Tbilisi,Saburtalo,გაგარინის 29ა,41.7357541,44.7703922,,success
TBC dadiani,Dropper,Tbilisi,Chughureti/Central,ცოტნე დადიანის ქუჩა 103-109,41.7292194,44.7984515,,success
Prosecutor,Dropper,Tbilisi,Mtatsminda/Krtsanisi,აღმაშენებლის ხეივანი მე-12 კმ.,41.6934591,44.8014495,,city_only
advokatta asociacia,Dropper,Tbilisi,Mtatsminda/Krtsanisi,თინათინ ვირსალაძის პირველი ჩიხი #1,41.6934591,44.8014495,,city_only
PayBox,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ქსნის ქუჩა 36,41.6934591,44.8014495,,city_only
Terabank 2,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ვირსალაძის 5,41.6426785,44.8942282,,success
Caucasus Medical Centre,Dropper,Tbilisi,Didube,ქავთარაძის 23,41.7219636,44.7314567,,success
Tbilisi Botanical Garden,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ბოტანიკურის 1,41.6857658,44.8093155,,success
Millennium School,Dropper,Tbilisi,Vake,ფერმწერთა 109,41.7414498,44.7223259,,success
IT Academy Step,Dropper,Tbilisi,Didube,ყაზბეგის 34/34ბ,41.7229733,44.7401342,,success
BOG 5 (Zhiuli Shartava St),Dropper,Tbilisi,Mtatsminda/Krtsanisi,ვირსალაძის 5,41.6426785,44.8942282,,success
ENERGO PRO GEORGIA,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ზ.ანჯაფარიძის 19,41.6934591,44.8014495,,city_only
Khmaladze Architects (Sandro Euli Str),Dropper,Tbilisi,Didube,სანდრო ეულის 7,41.7236913,44.7173223,,success
Dento club,Dropper,Tbilisi,Didube,ყაზბეგის 14ა,41.7254036,44.7617318,,success
Bank Of Georgia - Lisi,Dropper,Tbilisi,Mtatsminda/Krtsanisi,ლისის ტბის მ/ტ.(წრიულთნ),41.6934591,44.8014495,,city_only
Lomisi,Dropper,Tbilisi,Chughureti/Central,ბიძინა კვერნაძის 10,41.720355,44.7820922,,success
Tbilisi Green School Saburtalo,Dropper,Tbilisi,Didube,ბესარიონ ჟღენტის 37,41.7297387,44.7272712,,success
operation technical department of mia,Dropper,Tbilisi,Didube,ქავთარაძის 5ა,41.7213553,44.7305469,,success
National Probation Agency,Dropper,Tbilisi,Vake,ყაზბეგის 42/42ა,41.8253373,44.7528358,,success
TBC-Kazbegi,Dropper,Tbilisi,Didube,ყაზბეგის 12,41.7255708,44.7637247,,success
BOG 7(Gagarini 29),Dropper,Tbilisi,Saburtalo,გაგარინის 29,41.7351516,44.7701096,,success
