name,name_raw,address_raw,address_clean,address_for_geocoding,type,city,hours
Aversi-Rational,"Aversi-Rational ""dispenser""",ქ.თბილისი ჭირნახულის ქუჩა 14,ჭირნახულის ქუჩა 14,"ჭირნახულის ქუჩა 14, Tbilisi, Georgia",Dropper,Tbilisi,N/A
United Global Technology,"United Global Technology ""dispenser""",ქ.თბილისი ჭავჭავაძის 17ა,ჭავჭავაძის 17ა,"ჭავჭავაძის 17ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
MTA,MTA,ქ.თბილისი კოსტავას 70,კოსტავას 70,"კოსტავას 70, Tbilisi, Georgia",Dropper,Tbilisi,N/A
York,York,ქ.თბილისი ალექსიძის 12,ალექსიძის 12,"ალექსიძის 12, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Jerarsi Clinic,"Jerarsi Clinic""dispenser""",ქ.თბილისი მუხიანის 2ა,მუხიანის 2ა,"მუხიანის 2ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
jordanias klinika,jordanias klinika,ქ.თბილისი ერმილე ბედიას 33,ერმილე ბედიას 33,"ერმილე ბედიას 33, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Geo-Railway,"Geo-Railway ""dispenser""",ქ.თბილისი თამარ მეფის 15,თამარ მეფის 15,"თამარ მეფის 15, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Imedi TV (Lubliana St),"Imedi TV (Lubliana St) ""dispenser""",ქ.თბილისი ლუბლიანას 5 (7 პავილიონი),ლუბლიანას 5 (7 პავილიონი),"ლუბლიანას 5 (7 პავილიონი), Tbilisi, Georgia",Dropper,Tbilisi,N/A
GD-M,"GD-M ""dispenser""",ქ.თბილისი მდივანის 3ა,მდივანის 3ა,"მდივანის 3ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Georgian-Dutch Hospital,"Georgian-Dutch Hospital ""dispnser""",ქ.თბილისი გობრონიძის 27,გობრონიძის 27,"გობრონიძის 27, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Terabank,"Terabank ""dispenser""","ქ.თბილისი, წამებულის 3",წამებულის 3,"წამებულის 3, Tbilisi, Georgia",Dropper,Tbilisi,N/A
SAMSHENEBLO KOMPANIA-JEARSI,SAMSHENEBLO KOMPANIA-JEARSI,"ქ.თბილისი,ფეიქრების 14ბ",ფეიქრების 14ბ,"ფეიქრების 14ბ, Tbilisi, Georgia",Dropper,Tbilisi,N/A
New Vision University Hospital,"New Vision University Hospital ""dispenser""",ქ.თბილისი ბოხუას 9,ბოხუას 9,"ბოხუას 9, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Meama East Point,Meama East Point,ქ.თბილისი ისთ ფოინთის სივრცე,ისთ ფოინთის სივრცე,"ისთ ფოინთის სივრცე, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Georgian National Bank,"Georgian National Bank ""dispenser""",ქ.თბილისი გივი ამილახვრის 2,გივი ამილახვრის 2,"გივი ამილახვრის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
National Bank of Georgia (gulua),"National Bank of Georgia (gulua) ""dispenser""","ქ.თბილისი, ვაზიანი",ვაზიანი,"ვაზიანი, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Railway station,TBC-Railway station,ქ.თბილისი ცენტრალური რკინიგზის სადგური,ცენტრალური რკინიგზის სადგური,"ცენტრალური რკინიგზის სადგური, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC mini gldani,TBC mini gldani,ქ.თბილისი ალექსანდრე გობრონიძის 1/6,ალექსანდრე გობრონიძის 1/6,"ალექსანდრე გობრონიძის 1/6, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Basisbank,"Basisbank ""dispenser""",ქ.თბილისი ქეთევან დედოფლის 1,ქეთევან დედოფლის 1,"ქეთევან დედოფლის 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Prosecutor General ( 1 sartuli),"Prosecutor General ( 1 sartuli) ""dispenser""",ქ.თბილისი გორგასლის 24,გორგასლის 24,"გორგასლის 24, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Imedi TV 2,Imedi TV 2,ქ.თბილისი ლიბლიანის 2 (4 პავილიონი),ლიბლიანის 2 (4 პავილიონი),"ლიბლიანის 2 (4 პავილიონი), Tbilisi, Georgia",Dropper,Tbilisi,N/A
Vake Plaza,"Vake Plaza ""dispenser""",ქ.თბილისი ილია ჭავჭავაძის 72ა,ილია ჭავჭავაძის 72ა,"ილია ჭავჭავაძის 72ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
my.gov.ge,"my.gov.ge ""dispenser""",ქ.თბილისი გორგასლის 22,გორგასლის 22,"გორგასლის 22, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Brand Shop Tbilisi Mall,Brand Shop Tbilisi Mall,ქ.თბილისი აღმაშენებლის ხეივანი მე-16 კმ.,აღმაშენებლის ხეივანი მე-16 კმ.,"აღმაშენებლის ხეივანი მე-16 კმ., Tbilisi, Georgia",Dropper,Tbilisi,N/A
Agricultural University of Georgia,"Agricultural University of Georgia ""dispenser""",ქ.თბილისი აღმაშენებლის ხეივანი 240,აღმაშენებლის ხეივანი 240,"აღმაშენებლის ხეივანი 240, Tbilisi, Georgia",Dropper,Tbilisi,N/A
lokomotivi ragby,lokomotivi ragby,ბელიაშვილის პირველი ჩიხი ბაბილოს გვერდით,ბელიაშვილის პირველი ჩიხი ბაბილოს გვერდით,"ბელიაშვილის პირველი ჩიხი ბაბილოს გვერდით, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG 1 (I. Gagarini Str.),BOG 1 (I. Gagarini Str.),ქ.თბილისი გაგარინის 29ა,გაგარინის 29ა,"გაგარინის 29ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Gamrekeli,TBC-Gamrekeli,ქ.თბილისი გამრეკელის 2,გამრეკელის 2,"გამრეკელის 2, Tbilisi, Georgia",Dropper,Tbilisi,N/A
MINISTRY OF JUSTICE,"MINISTRY OF JUSTICE ""dispenser""",ქ.თბილისი გორგასლის 24ა,გორგასლის 24ა,"გორგასლის 24ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Betlive wereteli,Betlive wereteli,ქ.თბილისი წერეთლის 141ა,წერეთლის 141ა,"წერეთლის 141ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC-Wereteli,TBC-Wereteli,ქ.თბილისი წერეთლის 73ა,წერეთლის 73ა,"წერეთლის 73ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
tbc leasing 3,tbc leasing 3,ქ.თბილისი ჭავჭავაძის 76,ჭავჭავაძის 76,"ჭავჭავაძის 76, Tbilisi, Georgia",Dropper,Tbilisi,N/A
epizodi mini,epizodi mini,ქ.თბილისი პეკინის 41,პეკინის 41,"პეკინის 41, Tbilisi, Georgia",Dropper,Tbilisi,N/A
betlive mini 1,betlive mini 1,ქ.თბილისი წერეთლის ქუჩა 123,წერეთლის ქუჩა 123,"წერეთლის ქუჩა 123, Tbilisi, Georgia",Dropper,Tbilisi,N/A
samto kimia,samto kimia,წერეთლის გამზირი 142,წერეთლის გამზირი 142,"წერეთლის გამზირი 142, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Tbilisi Green School,"Tbilisi Green School ""dispenser""",ქ.თბილისი ხუდადოვის 1,ხუდადოვის 1,"ხუდადოვის 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG 3 (I. Gagarini Str.),BOG 3 (I. Gagarini Str.),ქ.თბილისი გაგარინის 29ა,გაგარინის 29ა,"გაგარინის 29ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
TBC dadiani,TBC dadiani,ცოტნე დადიანის ქუჩა 103-109,ცოტნე დადიანის ქუჩა 103-109,"ცოტნე დადიანის ქუჩა 103-109, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Prosecutor,"Prosecutor ""dispenser""",ქ.თბილისი აღმაშენებლის ხეივანი მე-12 კმ.,აღმაშენებლის ხეივანი მე-12 კმ.,"აღმაშენებლის ხეივანი მე-12 კმ., Tbilisi, Georgia",Dropper,Tbilisi,N/A
advokatta asociacia,advokatta asociacia,თინათინ ვირსალაძის პირველი ჩიხი #1,თინათინ ვირსალაძის პირველი ჩიხი #1,"თინათინ ვირსალაძის პირველი ჩიხი #1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
PayBox,PayBox,ქ.თბილისი ქსნის ქუჩა 36,ქსნის ქუჩა 36,"ქსნის ქუჩა 36, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Terabank 2,"Terabank 2 ""dispenser""",ქ.თბილისი ვირსალაძის 5,ვირსალაძის 5,"ვირსალაძის 5, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Caucasus Medical Centre,"Caucasus Medical Centre ""dispenser""",ქ.თბილისი ქავთარაძის 23,ქავთარაძის 23,"ქავთარაძის 23, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Tbilisi Botanical Garden,Tbilisi Botanical Garden,ქ.თბილისი ბოტანიკურის 1,ბოტანიკურის 1,"ბოტანიკურის 1, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Millennium School,"Millennium School ""dispenser""",ქ.თბილისი ფერმწერთა 109,ფერმწერთა 109,"ფერმწერთა 109, Tbilisi, Georgia",Dropper,Tbilisi,N/A
IT Academy Step,"IT Academy Step ""dispenser""",ქ.თბილისი ყაზბეგის 34/34ბ,ყაზბეგის 34/34ბ,"ყაზბეგის 34/34ბ, Tbilisi, Georgia",Dropper,Tbilisi,N/A
BOG 5 (Zhiuli Shartava St),BOG 5 (Zhiuli Shartava St),ქ.თბილისი ვირსალაძის 5,ვირსალაძის 5,"ვირსალაძის 5, Tbilisi, Georgia",Dropper,Tbilisi,N/A
ENERGO PRO GEORGIA,ENERGO PRO GEORGIA,ქ.თბილისი ზ.ანჯაფარიძის 19,ზ.ანჯაფარიძის 19,"ზ.ანჯაფარიძის 19, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Khmaladze Architects (Sandro Euli Str),Khmaladze Architects (Sandro Euli Str),ქ.თბილისი სანდრო ეულის 7,სანდრო ეულის 7,"სანდრო ეულის 7, Tbilisi, Georgia",Dropper,Tbilisi,N/A
Dento club,Dento club,ქ.თბილისი ყაზბეგის 14ა,ყაზბეგის 14ა,"ყაზბეგის 14ა, Tbilisi, Georgia",Dropper,Tbilisi,N/A
